,ID,Feed,Sentiment,word_count,char_count,avg_char_per_word,stopwords
1669,1670,وهابي تاج راسك اللي تاكل وراك اذا الوهابيه شء مخالف لكتاب الله سنه نبيه اذكره تكون كالببغاء تردد الناعقين لتثبت انك علي الصراط انت هوه الخراب طنت طنوت سوريا,0,29,156,4.0,0
853,854,سلمت سلمت يداك انها الاخلاق الكريمه علمنا اياها رسولنا الاعظم صلوات الله سلامه اننا انشاء الله سنفعل بوسعنا حتي نرسم صوره راقيه جميله ديننا اخلاقنا الله المستعان,1,27,161,5.0,0
713,714,حسبنا الله الوكيل فيكم مجلس النواب الحالي يمثل الشعب الاردني فهم ساءلين الشعب يبحثون مناصب وزاريه رواتب خياليه بينما المواطن الاردني طفح الكيل معه اصبح يطيق الحياه,0,27,163,5.0,0
1234,1235,لاتحزن فان الحسنه بعشره امثالها الي سبعماءه ضعف الي اضعاف كثيره السيءه بمثلها الا ان يعفو ربك يتجاوز فكم لله كرم سمع مثله جود يقاربه جود,1,26,136,4.0,0
1070,1071,فعلا الطاقه الشمسيه البديل النوويه لان حتي الدول المتقدمه صارت تتخلص النووي تتجه للطاقه البديله خصوصا الاردن بلد مشمس عالطول السنه الكلفه اتوقع اكثر الطاقه النوويه,0,26,163,5.0,0
510,511,انا ضد النووي كالاردن البحث مصادر للطاقه النظيفه خصوصا اننا نفتقر للماء الاجدي ايضا ان نبحث سبل لحل مشكله المياه بالمبالغ ستصرف علي المفاعلات النوويه,0,25,149,5.0,0
1670,1671,وهابي عفن ومكبوت تفكيرك محصور فخذيك فقط لاغير الجنه اللتي ستدخلها انت اريد دخولها جهنم اشرفلي واهون علي ان اكون احد الوهابين المنحطين لواطيي الاطفال,0,25,148,4.0,0
1465,1466,نرجو الله ان يتقبل صلاتنا رغم تمر بلدنا ازمه الواحد خايف علي نفسه مستعجل بصلاته انا صليت اعتبرها صلاه مودع فيخشع قلبي تدمع عيناي,1,24,128,4.0,0
1018,1019,عفكره البيج هاد قرفني وقلب معدتي شو للاسف انتا انو عرفك انه هيك الوضع بتفتح بالفنجان ناس خفوا علينا الدين مش للايكات وكمنتات,0,23,124,4.0,0
1128,1129,كانت العرب الجاهليه يصيبها التشاءم ان رات رجل او امراه لون عينيه ازرق وكانت تعتقد انهم شياطين او مس شيطاني اصابهم وهم اجنه,0,23,122,4.0,0
874,875,شعور الانفصام تاع سنه خامسه كثير بخزي اللي انك عملت شي ممكن ينعمل بالجامعه فزهقت وبدك تتخرج بنفس الوقت مش هاين تترك الجامعه,0,23,123,4.0,0
8,9,اتحزن فان الله يدافع عنك والملاءكه تستغفر المءمنون يشركونك دعاءهم صلاه النبي صلي الله سلم يشفع القران يعدك وعدا حسنا رحمه ارحم الراحمين,1,23,135,4.0,0
1765,1766,يجب وضع تسول نفسه مجرد ان يعمل اي تصرف يليق بالاردن ان يسجن يسجن شيء مخزي شويه همل زعران يخربوا الجامعات سمعه البلد,0,23,115,4.0,0
1273,1274,يقفل باب مدينتنا فانا ذاهبه لاصلي سادق علي الابواب سافتحها الابواب ستغسل نهر الاردن وجهي بمياه قدسيه ستمحو نهر الاردن اثار القدم الهمجيه,1,23,136,4.0,0
577,578,ايها الصغار المتناكفون انكم منشور ضد بعضكم البعض تصغرون اكثر انتم صغار يسلك الطريق الا صغير ساذج يحب ان يعيش علي القذارات,0,22,121,4.0,0
856,857,سلوا الله الجنه والحوا طلبها ييسر اسباب دخولها فكل نعيم دونها شقاء وكل فوز دونها خسار زحزح النار وادخل الجنه فقد فاز,1,22,116,4.0,0
827,828,ساعد نفسك بنفسك حتي تجد الطريق المناسب تريده اكتشف قدراتك واستغل مواهبك تترك نفسك لحيث تاخذك الرياح فينتهي العمر ان تحقق حلمك,1,22,125,4.0,0
456,457,النقاش العقلاني ينتهي يانك تقنع الشخص انك تقتنع اذا انتهي النقاش واللي قدامك مصدي الحل الثالث تتفل بوجهه بكذا يكون انتهي النقاش,0,22,127,4.0,0
453,454,الموضوع اله علاقه بالتخلف تكون الاضرار اكثر الفاءده بلا اهم هيك انه المفاعل بحاجه لتبريد داءم للاسف وين المي يلي عنا,0,21,116,4.0,0
47,48,اذا كنا بالفعل علي موعد رفع لاسعار الخبز يشاع فالاولي بالحكومه اولا ان تقوم بترشيد الدعم بحيث يذهب فقط لمن يستحقه,0,21,113,4.0,0
247,248,الله الله الله يحفظك مملكه الانسانيه تقتصر مساعده السوريين الاردن علي المعونات الغذاييه او الطبيه حتي شنط مدارس الاطفال بكل شي,1,21,126,5.0,0
481,482,ان الدين الله الاسلام الدين يجب ان يعتنقه انسان علي وجه الارض وليس العرب فقط اللهم اهدي المسلمين الي دين الاسلام,1,21,112,4.0,0
1469,1470,نسمات انتعاش الفجر رحمات يظفر اهل النور التام توسعت صدورهم بانشراح جماعه الفجر حيويه صبح يتنفس منتشيا مرحبا بكل مبادر للخير,1,21,123,4.0,0
1644,1645,وعجلت اليك ربي لترضي كالمطر اذا اقبل استبشر الناس واذا حط نفعهم واذا رحل اثرا نافعا فيهم واذا غاب اشتاقوا اليه,1,21,110,4.0,0
838,839,سبحانك ربنا الواحد الاحد شريك تحيي تميت انت علي شيء قدير صلي الله سلم علي نبينا محمد علي اله صحبه اجمعين,1,21,104,4.0,0
1358,1359,متخافش يامءمن قول يارب وحب ربك ده اللي خلق النعمه اللي انت متعلق بيها يعني اعظم النعمه دي وانت عارف كده,1,21,103,3.0,0
1277,1278,اغلقت الابواب وجهك واظلمت الدنيا خنقتك الدموع ضاقت الارض استحضر معني اسم الله الفتاح القادر سبحانه قادر علي فتح انغلق امرك,1,21,122,4.0,0
4,5,​انا داشره وغير متزوجه ولدي علاقات مشبوه واحشش واحيانا اهرب مخدرات اجيد التسليك احب ان انكب نفسي وعلاقتي بالمنزل متوتره جد,0,21,122,4.0,0
1241,1242,لان بعتقد انو هالقد عاهات بيعرفوا انو صوتهم نشاز لانو كتيير نشاز وازا رح تكون حالات استثناءيه مو بهاد الكم الكبير,0,21,113,4.0,0
1207,1208,تياسوا روح الله الله تعالي يعجزه شيء فكم مريض شفاه وكم فقير اغناه وكم مشرف علي الهلاك نجاه وكم ضال هداه,1,21,103,3.0,0
602,603,برلمان المانيا يقر باغلبيه كبيره التخلي الطاقه النوويه حتي 2022 الاردن يطرح عطاءلانشاء محطه طاقه نوويه الله يطعمنا الحج والناس مروحه,0,21,132,5.0,0
612,613,بسعد ربك وصباحك عسل انت وكل قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب علي هالصبح,0,20,109,4.0,0
222,223,الغرب فسق وعاءلات مفككه والنساء عاهراتالمدارس تعلم الجنس للاطفال يشربون الكحول وياكلون لحم الخنزير يقول وجدت الغرب اسلام بلا مسلمين,0,20,131,5.0,0
1037,1038,عوام الشيعه ساذج ومغفل وجاهل ومتجاهل يمكن لعاقل ان يظن ان عباده الله تكون بان تقضي حياتك لطم ولعن وتباكي,0,20,104,4.0,0
318,319,اللهم اجعلنا تنظر اليهم بحب اشتياق اجعلنا عبادك التوابين المخلصين العابدين الحق لدينك احفظنا قنا نار وقودها الناس الحجاره رب,1,20,124,5.0,0
67,68,اسعار البنزين مرتفعه المملكه الاردنيه الهاشميه والشعب اغلبه فقير وماشيه الحياه بدون اي مشاكل اللي يقهرك ان الاردن تنتج البنزين,0,20,126,5.0,0
1076,1077,فعلا ده صحيح مثلا زي سماع الاغاني تلهي زكر الله تركتها لله يملا الله قلبك بحبه ولاتشغل بالك الا بذكره,1,20,101,4.0,0
220,221,العنصريه الاردن تتوقف علي كلمه اردني وفلسطيني وانما تتجاوزت الي تصنيف ابناء الوطن الواحد وفقا للعشيره وهذا اسوء حال وصلنا,0,20,121,5.0,0
282,283,الله يخزيكم امن الوطن مافي سلطي كركي طفيلي الاردن الجميع قالوا بنحبك وطن رد عليهم الوطن بغصه حبوا بعضكم اول,0,20,107,4.0,0
508,509,انا دمرت انا دمرت مستقبلي ضاع معي اكل خبز شو هالحياه شو هالقرف مش حياه الحياه كلها ظلم شغل الاردن,0,20,97,3.0,0
597,598,بدك الصراحه بدون زعل جهنم الزبانيه الملاءكه تنتظرك تموت لتشرب فروج المومسات صديد اهل النار ان شاء الله اوباش سوريا,0,20,114,4.0,0
1250,1251,لدي الاردن مءهلات عظيمه لاستغلال الطاقه الشمسيه وطاقه الرياح وطاقه باطن الارض والوقود الحيوي وكلها طاقه امنه ونظيفه ومتجدده,1,19,123,5.0,0
771,772,ربما تنام وعشرات الدعوات ترفع فقير اعنته او جاءع اطعمته او حزين اسعدته اومكروب نفست عنه تستهن بفعل الخير,1,19,104,4.0,0
657,658,تري هاي فاهمه موضوع الوطنيه غلط تري مش لحالك اردنيه والله اعلم اذا انك اردنيه اصلا شغل سوالف حصيده,0,19,98,4.0,0
496,497,انا اشوفه انه عادي اي معني وايش مليوني مشاهد والله انه يستحق الي الحد المشاهده وبعدين هاض شي مقزز,0,19,97,4.0,0
1034,1035,عندما يقدم طلاب علي حرق الكتب المدرسيه والاضراب فنحن نعيش انتكاسه التعليم بطلها المعلم الغير مبالي اججوا وافتعلوا الازمه,0,19,120,5.0,0
1391,1392,مشتاقه شوق ماحسه الناس شوق يغطي معاليق الروح بضمي ترف دلع لهفه مشاعر واحساس ماابي غيرك ولاغيرك تراه همي,1,19,103,4.0,0
1611,1612,والله مو ناقصنا وجع قلب ضايل علينا النووي صحه البشر مش برضو خطيه المسءولين خلص شي فارق والله عحب,0,19,96,4.0,0
474,475,املا رءتيك بعبق السماء ولاده جديد تهتز الحياه تحتفل ايقظ عقلك بالنور ابعث همتك حيه متوثبه لتطوي نهارك فرح,1,19,105,4.0,0
132,133,الاردن الي كله فخر واعتزاز لمدح مشروع الطاقه الشمسيه الديوان الملكي شعوره المشروع طاقه نوويه شو علاقه الفخر والاعتزاز,0,19,117,5.0,0
1152,1153,يوم اجتماعات ومناقشات وتحليلات ومفاوضات بشان سوريه وكلو حكي فاضي وعلاك مصدي اذا نيه صادقه مخلصه الاطراف تنتهي ماساتنا,0,19,117,5.0,0
919,920,الدرب للجنه وبلبل شادي بفنه وريحه الياس والحنه اقولها لكل احبابي اللهم اجعلنا يتمتعون بروح وريحان وجنه النعيم الرحمن,1,19,116,5.0,0
1532,1533,تعلم ان المطر يتشكل اولا علي هيءه بلورات ثلج داخل الغيوم يتحول الي قطرات ماء ذوبانه طريقه الي اليابسه,1,19,101,4.0,0
1449,1450,مقابله جلاله الملك عبدالله قناه سي اس الاميركيه يءرقني تامين فرص الحياه الكريمه لشباب الاردن نسمح للارهاب بالعبث الاردن,0,19,119,5.0,0
570,571,اي تقدم اي ازدهار مفاعل النوويه بعمل الامراض كثير اهم السرطان الله يبعده عنها انا معهم رفض المفاعل النوويه,0,19,106,4.0,0
1118,1119,قول الله ده عنك مش بعيد متشلش تشعر بضيق اقول يالله اهديني ياقلبي عشان اتوب امحي الذنوب واهديلي الطريق,1,19,101,4.0,0
355,356,اللهم اصلح حالي احفظني نور قلبي اجعل طريق الخير طريقي اجعل عملي خالصا لوجهك الكريم توب علي اغفر زلاتي,1,19,101,4.0,0
1679,1680,اخوان انتبهوا الي انه اكثر المشتركين المايعين لبنان او سوريا وهذا حالهم لان تركوا مله الاسلام وتبعوا الميوع الشيطان,0,19,115,5.0,0
1698,1699,رب ان امسيت بحزن فاصبحني بفرح ان نمت علي ضيق فايقظني علي فرج ان كنت بحاجه تكلني الا لسواك,1,19,89,3.0,0
123,124,الاردن تعدل المناهج تقليصا الاستشهاد بايات قرانيه واحاديث نبويه وبدلا تم اعتماد دروس اقرب الي اخلاق الحياه اليوميه للطالب,0,19,121,5.0,0
280,281,الله يحمي البلد مخرب والله يعطيكي العافيه رجال الامن العين السهره علي حمايه البلد اصحاب النفس المريضه انتم النشامي,1,19,114,5.0,0
1259,1260,للاسف عنا كلمه معاق الحياه العامه الاردن تستخدم للتعبير الشخص الغبي علشان هيك انا قلت ذوي الاحتياجات الخاصه افضل,0,19,112,4.0,0
1468,1469,نسعي بكل همه وجهد للحصول علي مصادر طاقه رخيصه تعزز اقتصاد الاردن كون الطاقه تشكل ربع موازنه الدوله,1,18,98,4.0,0
188,189,الحمدلله ضيق اسجد لله احس ان اعله مستوا وانسا واتذلل الي الله ليحميني فتن الدنيا واحسن منزلي الجنه,1,18,98,4.0,0
1471,1472,نشاطر اخوتنا الاردن احزانهم علي الاغتيال الوحشي للطيار معاذالكساسبه داعين الله ان يكون الشهداء ان يسكنه فسيح جناته,0,18,114,5.0,0
1380,1381,مش شايف العالم مش ملاقيه الخبز بشتغل علي سياره رح يوكل هوا بارتفاع المحروقات الاكل الشرب رح يرتفع,0,18,97,4.0,0
191,192,الخشوع احساس جميل جد امام الله القلب يحب الدمع صافي متعه الصلاه راحه فاءقه اتمني لكل المسلمين الخشوع,1,18,100,4.0,0
1460,1461,الاردن نشاطر اخواننا السعوديه احزانهم بوفاه الامير سعود الفيصل وزير الخارجيه السعودي السابق انا لله وانا اليه راجعون,0,18,116,5.0,0
156,157,الحب الان بقي تيك اواي قليل اوي نلقي انسان مخلص حبه ان الحب ده اجمل واسما عاطفه الوجود,1,18,86,3.0,0
545,546,انشالله انو يطلع كلام فاضي لانو اذا ضربت سوريا الاردن رح اتصير حرب عالميه ثالثه رح اتخلص نتخزق,0,18,94,4.0,0
790,791,ربنا يقويكي علي اخد القرار الصح واحسني الظن بالله وتوكلي وربنا يقويكي علي ضعفك يارب ويعدك الغلط ده,1,18,98,4.0,0
1591,1592,والله حرام والله موتوه لشعب الاردني وين بدنا نجيب الكو وين الله ارحمو الارض يرحمكم السماء الله حرام,0,18,99,4.0,0
1571,1572,والله احلا شيء انه الواحد يهاجر او يشتغل حرامي عشان يقدر يعيش الله يوفق الي السبب الله حرام,0,18,91,4.0,0
125,126,الا يكفي ان نسبه مرضي السرطان الاردن اعلي نسبه عالميه بسبب مفاعل دايمونه الاسراءيلي بكل جهل نضعهه بلدنا,0,18,103,4.0,0
809,810,رحمه الله رحمه واسعه واسكنه فسيح جناته الدكتور ونعم الداعيه ونعم الاب ونعم الصديق مخلص عمله صدوق دعوته,1,18,102,4.0,0
1606,1607,والله يجمعونهم علي شاطء البحر الميت ويخلونهم يصرخون علي اليهود ولمده 30 ثانيه ليهربون لقبرص طريق البحر سباحه,0,18,108,5.0,0
179,180,الحمد لله علي نعمه تحصي الحمد لله تكفل برزقي الحمد لله لانه رب يستحق الحمد علي السراء الضراء,1,18,92,4.0,0
1228,1229,ياعزيزتي انا عايشه بالمحكمه واشوف تسلط وظلم كبير اشباه الرجال بالنهايه المظلومه تجد ينتصر وبكل هدوء بدون افلام,0,18,110,5.0,0
57,58,اسال الله الاخلاص حبيبنا اشتاق والله للصلاه معكم واسال الكريم ان يعيدكم الي منبركم عام وانت خير وبخير,1,18,101,4.0,0
1699,1700,رب بناتنا شبابنا كلهم يستطيعوا العمل بهذه النصيحه ريتا كلنا نتذكر اننا كلنا دعاه للاسلام باخلاقيتنا الصفات الحسنه,1,18,113,5.0,0
342,343,اللهم ارزقنا خيري الدنيا الاخره ارزقنا حسن الخاتمه ارزقنا الفردوس الاعلي نحب ارزقنا لذه النظر الي وجهك الكريم,1,18,109,5.0,0
44,45,اذا فكرت مره تخسر اصحابك تخسرهم علي احد يستاهل صح الحياه تعطيك ميه حب الحياه تهديك اصحاب مرتين,0,18,94,4.0,0
1048,1049,غرباء حتي احلامنا نعيش واقع نصيب نتمني اشياء كثيره بدون ان نتحمل اي مسءوليه ننظر الي انفسنا فقط,0,18,95,4.0,0
1077,1078,فعلا زي حكي اخر شي مهزله وانا مهزله اللي ضيعت وقتي اشوف هيك مسخره فعلا اني مسخره,0,17,80,3.0,0
1150,1151,شء ماله معني بهالحياه الا الفلوس الحياه وهي تقرر مصير شء بهالدنيا الا شء الموت يتناغم الفلوس,1,17,92,4.0,0
738,739,خبار الموت تهز قلوبنا بعمق وسياتي اليوم تهتز قلوب حولنا لموتنا يارب نسالك حسن الختام ورضاك عنا,1,17,94,4.0,0
58,59,اسال بيده ملكوت السماوات والارض ان ييسر اموركم ويرفع قدركم ويعلي شانكم ويبارك اعطاكم ويصرف عنكم اذاكم,1,17,101,5.0,0
1010,1011,عد دراسه قمنا تبين ان وضع خلايه شمسيه صجراء الاردن والسعوده تكفي للاناره الارض كامله مدي الحياه,1,17,95,4.0,0
432,433,اللهم مجيب دعاك اعنا علي تقواك بتقواك وارزقنا حسن طاعتك وتمام رضاك واغفرلنا ولوالدينا ولكل حق علينا,1,17,99,4.0,0
1203,1204,تخسر قيمتك بكلمه تفقد احترامك بزله تجعل همك الدنيا حب الناس لكفالناس قلوبهم متقلبه تحبك اليوم تكرهك,1,17,99,4.0,0
1153,1154,يوم يصدمنا الاعلام بنتاءج رقميه مجهوله المصدر والتوثيق والاستقراء حول التعليم الاردن لتبرروا تغير المناهج المخزي تخدعونا,0,17,120,6.0,0
205,206,السلام عليكم الحقيقه انا اعرف شو وقاحه هاي اللجنه المشترك يعطي عنده مواهب عنده وهم يعطون عندهمما,0,17,96,4.0,0
1478,1479,الله علي اكثر ان احصيها الهدايه الصحه سلامهالقلب ذكاء العقل صفاء المشاعر سلامهالحواس حفظ الاحباب اللهم الحمد,1,17,108,5.0,0
644,645,تايم لاين اردني واعي ومثقف لفت انتباه زين الاردن لتغيير محتوي تغريدتها شكرا لاحترامكم الراي العام الاردن,1,17,104,5.0,0
218,219,العرب مو بتاع الشغلات لاكن فاشلين الله معطينا متطلبات التحظر والتطور لاكن لازقين بهلتفاهات ونضن انو التحظر,0,17,106,5.0,0
1035,1036,عندما يقول احد ابشرك فانك مباشره تفرح وتبتسم فكيف اذا القاءل الله سبحانه وتعالي يقول وبشر الصابرين,1,17,98,4.0,0
1563,1564,واسال الله اثواب رحمته سترا جميلا علي الزلات مشتملا وان ييسر سعيا اكون مستبشرا جذلا باسرا وجلا,1,17,94,4.0,0
229,230,الفلاكا تجعل يتناولها يعتقد انه زومبي واكل لحوم البشر ويبدا بالبحث دم ليشربه وظهرت التسعينات امريكيا اختفت,0,17,106,5.0,0
93,94,اظن انهم حبو وانجرحوا وضاعت عقولهم دخل قلوبهم الا اغاني الجروح عشان حافظينها وجايين يقولونها اللهم لاشماته,0,17,106,5.0,0
1416,1417,اهم مشاكل التعليم الجامعي الجامعات الرسميه الاردن مشكله الاعداد ان جامعه متجاوزه السقف الاستيعابي بالاف الطلاب,0,16,110,5.0,0
41,42,اذا الخبر صحيح انا اول شخص بطالب بالهجره لاي دوله خليجيه او اوروبيه او حتي اسراءيل,0,16,82,4.0,0
1176,1177,كله علي راس المواطن يثير السخريه رفع اسعار المستقات النفطيه المستخدمه الصناعه تقول صناعتنا مكسره الدنيا,0,16,103,5.0,0
128,129,الاردن افضل حالا بمءات المرات التعليم الصحه الزراعه الاستثمار التردي مرتبط بالربيع العربي قبله بمده عام,0,16,103,5.0,0
614,615,بصفحات الفيزا علي جواز السفر حاطين صور اثار الاردن عاساس هيك اشوفهم رح احن ابطل اسافر,0,16,85,4.0,0
514,515,انا فعلا قررت واخدت القرار ده وحاسه براحه وسعاده كبيره اوي بقربي ربنا بجد الحمد لله,1,16,83,4.0,0
850,851,سلام عليكم طبتم تقال للطيبين عندما يساقون للجنه وهم طابت اقوالهم وافعالهم الدنيا اللهم اجعلنا منهم,1,16,98,5.0,0
1252,1253,مجبرين علي تبرير المواقف لمن يسيء الظن يعرفنا جيدا يفهمنا جيدا فالعين تكذب نفسها ان احبت,1,16,88,4.0,0
1604,1605,والله انه فايز بعرب ايدول او برامج الفارطه تلاقي اضعاف العدد ياعمي شعب بحب السح اندح,0,16,84,4.0,0
588,589,بالله عليكم الم تستحيوا انفسكم قدومكم الي البرنامج الم تعلموا ان مسابقات لانكر الاصوات قناه اخري,0,16,96,5.0,0
589,590,بالله شباب وش رايكم بالاشكال تتوقعون اهلهم كارهينهم والناس تجي لاهاليهم وتقول حرام عليكم هذول دمكم,0,16,98,5.0,0
1015,1016,عشان هيك قال النبي صلي الله وسلم ان الكذب يهدي الي الفجور والفجور يهدي الي النار,1,16,80,4.0,0
812,813,رغم انني اول اثار فضيحه المناهج المقرره الاردن طوال عقود مضت عوقبت بالفصل عده مرات التربيه,0,16,90,4.0,0
1781,1782,يعني دوله اللي وين جاي وصل عشان تشوفه لجنه التحكيم مبين مجنون مش شايف اشي قدامه,0,16,79,4.0,0
1668,1669,ونعم بالله اختار قرب الله فما خاب ابدا الله علي دي راحه وده شعور الحمد لل,1,16,73,3.0,0
1288,1289,جماعه الاخوان الخسيسه بدكو الوطن يتصلح وانتو قسمتوه لفريقيين منكم اخدنا لمطرح ومش عارفين واصليين لوين,0,16,101,5.0,0
1440,1441,مهو اصلا زي مشروع الباص السريع يلي استملكو عشانه شارع المحطه كامل ليسه بنسمع عنو شفنا,0,16,85,4.0,0
442,443,المسلم الفطن النقي يتصرف يرضي الله السر العلن نسال الله عز وجل ان نتبع يرضيه عنا,1,16,80,4.0,0
688,689,جمال الصفحه جمالكم رقي اخلاقكم انا متاكد ان صفحتنا ستعجبك فانضم الينا ادعو اصدقاءك فنحن نسعد,1,16,92,4.0,0
184,185,الحمدلله هدانا لهذا كنا لنهتدي لوﻻ ان هدانا الله ﻻ اله اﻻ الله محمد رسول الله,1,16,77,3.0,0
76,77,اشهد الله اني احبك الله ادعوا ان نحشر حبيبنا امامنا محمد صلي الله سلم الجنه امين,1,16,80,4.0,0
654,655,تذكر كذب يكتب عندا الله كاذب اله الا الله اما يتحري الصدق يكتب عندا الله صادقا,1,16,78,3.0,0
551,552,انه مسلم ويعرف قلبه الوفاء فكيف حال المسلمين اللهم ارزق بنات المسلمين زوجا طيبا محبا مثله,1,16,89,4.0,0
733,734,حلوه قوي عمرو تيقن القصه يوجد حاسد ظالم متواكل اللهم ارزقنا رزقا حلال طيبا اللهم امين,1,16,85,4.0,0
1186,1187,كنا نقول البلد حاميها حراميها سنقول الان مفتيها حراميها الله الواحد تحير الامه اصبح الحليم حيران,0,16,96,5.0,0
